candidate_id,count,cycle,state,state_full,total,name,receipts,other_political_committee_contributions,individual_itemized_contributions
S0TN00169,165,2026,IA,Iowa,11203.47,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,356,2026,ID,Idaho,11428.77,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,988,2026,IL,Illinois,149993.16,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,381,2026,IN,Indiana,27914.03,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,294,2026,KS,Kansas,7781.37,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,160,2026,KY,Kentucky,19263.1,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,594,2026,LA,Louisiana,54164.17,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,460,2026,MA,Massachusetts,76811.39,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,525,2026,MD,Maryland,106546.59,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,174,2026,ME,Maine,3146.57,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,1092,2026,MI,Michigan,63260.49,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,402,2026,MN,Minnesota,9225.92,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,786,2026,MO,Missouri,27935.49,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,212,2026,MS,Mississippi,21616.05,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,334,2026,MT,Montana,5590.37,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,912,2026,NC,North Carolina,66010.17,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,52,2026,ND,North Dakota,1433.37,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,244,2026,NE,Nebraska,7498.47,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,379,2026,NH,New Hampshire,8955.64,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,775,2026,NJ,New Jersey,149226.38,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,153,2026,NM,New Mexico,5225.51,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,374,2026,NV,Nevada,34650.76,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,1736,2026,NY,New York,407364.37,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,1196,2026,OH,Ohio,37774.64,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,460,2026,OK,Oklahoma,30948.39,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,715,2026,OR,Oregon,17411.69,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,1561,2026,PA,Pennsylvania,55369.65,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,9,2026,PR,Puerto Rico,9900,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,12,2026,RI,Rhode Island,5349.5,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,639,2026,SC,South Carolina,30897.72,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,38,2026,SD,South Dakota,1664.82,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,4808,2026,TN,Tennessee,2194584.94,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,4474,2026,TX,Texas,337650.55,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,290,2026,UT,Utah,15597.26,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,1274,2026,VA,Virginia,272297.53,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,12,2026,VT,Vermont,3427,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,718,2026,WA,Washington,42073.22,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,226,2026,WI,Wisconsin,21777.83,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,75,2026,WV,West Virginia,2802.4,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
S0TN00169,342,2026,WY,Wyoming,5977.77,"HAGERTY, BILL",8804750.56,1436449.2,4441108.23
